Data length, Time, Total bytes, Data rate, Errors
1000, 1.053, 59793, 56783.477, 0
1000, 6.974, 59793, 8573.702, 0
1000, 4.091, 59793, 14615.741, 0
1000, 2.562, 59793, 23338.406, 0
1000, 7.651, 59793, 7815.057, 0
1000, 2.461, 59793, 24296.221, 0
1000, 2.973, 59793, 20112.008, 0
1000, 2.719, 59793, 21990.805, 0
1000, 2.451, 59793, 24395.350, 0
1000, 4.451, 59793, 13433.609, 0
1000, 4.078, 59793, 14662.334, 0
1000, 7.516, 59793, 7955.429, 0
1000, 2.997, 59793, 19950.951, 0
1000, 7.734, 59793, 7731.187, 0
1000, 4.098, 59793, 14590.775, 0
1000, 4.098, 59793, 14590.775, 0
1000, 7.772, 59793, 7693.387, 0
1000, 3.723, 59793, 16060.435, 0
1000, 4.148, 59793, 14414.899, 0
1000, 3.024, 59793, 19772.818, 0
2000, 1.653, 59793, 36172.414, 0
2000, 3.830, 59793, 15611.750, 0
2000, 2.495, 59793, 23965.131, 0
2000, 2.721, 59793, 21974.643, 0
2000, 3.121, 59793, 19158.283, 0
2000, 1.490, 59793, 40129.531, 0
2000, 3.453, 59793, 17316.246, 0
2000, 1.832, 59793, 32638.100, 0
2000, 1.655, 59793, 36128.703, 0
2000, 2.836, 59793, 21083.568, 0
2000, 2.460, 59793, 24306.098, 0
2000, 2.685, 59793, 22269.273, 0
2000, 2.473, 59793, 24178.326, 0
2000, 2.518, 59793, 23746.229, 0
2000, 6.421, 59793, 9312.101, 0
2000, 1.444, 59793, 41407.895, 0
2000, 3.087, 59793, 19369.291, 0
2000, 4.822, 59793, 12400.041, 0
2000, 1.538, 59793, 38877.113, 0
2000, 3.798, 59793, 15743.285, 0
3000, 3.820, 59793, 15652.618, 0
3000, 4.279, 59793, 13973.593, 0
3000, 4.230, 59793, 14135.461, 0
3000, 1.290, 59793, 46351.164, 0
3000, 4.235, 59793, 14118.771, 0
3000, 4.175, 59793, 14321.676, 0
3000, 2.325, 59793, 25717.418, 0
3000, 3.127, 59793, 19121.521, 0
3000, 3.097, 59793, 19306.750, 0
3000, 1.286, 59793, 46495.332, 0
3000, 2.772, 59793, 21570.346, 0
3000, 1.325, 59793, 45126.789, 0
3000, 2.821, 59793, 21195.674, 0
3000, 1.334, 59793, 44822.340, 0
3000, 1.218, 59793, 49091.129, 0
3000, 1.919, 59793, 31158.416, 0
3000, 4.235, 59793, 14118.771, 0
3000, 3.995, 59793, 14966.959, 0
3000, 1.387, 59793, 43109.590, 0
3000, 1.406, 59793, 42527.027, 0
4000, 1.956, 59793, 30569.020, 0
4000, 1.216, 59793, 49171.875, 0
4000, 2.219, 59793, 26945.920, 0
4000, 1.119, 59793, 53434.316, 0
4000, 2.924, 59793, 20449.043, 0
4000, 3.083, 59793, 19394.422, 0
4000, 1.090, 59793, 54855.961, 0
4000, 2.702, 59793, 22129.164, 0
4000, 2.465, 59793, 24256.797, 0
4000, 2.452, 59793, 24385.400, 0
4000, 2.523, 59793, 23699.168, 0
4000, 1.135, 59793, 52681.059, 0
4000, 1.538, 59793, 38877.113, 0
4000, 2.572, 59793, 23247.666, 0
4000, 0.265, 59793, 225633.969, 0
4000, 1.173, 59793, 50974.426, 0
4000, 2.197, 59793, 27215.748, 0
4000, 2.737, 59793, 21846.182, 0
4000, 2.292, 59793, 26087.695, 0
4000, 2.902, 59793, 20604.066, 0
5000, 2.469, 59793, 24217.496, 0
5000, 1.006, 59793, 59436.379, 0
5000, 1.186, 59793, 50415.684, 0
5000, 1.134, 59793, 52727.516, 0
5000, 2.383, 59793, 25091.482, 0
5000, 1.065, 59793, 56143.660, 0
5000, 2.526, 59793, 23671.021, 0
5000, 2.885, 59793, 20725.477, 0
5000, 2.883, 59793, 20739.855, 0
5000, 2.939, 59793, 20344.676, 0
5000, 2.640, 59793, 22648.863, 0
5000, 1.091, 59793, 54805.684, 0
5000, 2.381, 59793, 25112.557, 0
5000, 0.976, 59793, 61263.320, 0
5000, 0.241, 59793, 248103.734, 0
5000, 1.062, 59793, 56302.258, 0
5000, 1.158, 59793, 51634.715, 0
5000, 1.070, 59793, 55881.305, 0
5000, 1.120, 59793, 53386.605, 0
5000, 1.930, 59793, 30980.830, 0
6000, 1.673, 59793, 35739.988, 0
6000, 0.952, 59793, 62807.773, 0
6000, 2.385, 59793, 25070.439, 0
6000, 1.833, 59793, 32620.295, 0
6000, 1.820, 59793, 32853.297, 0
6000, 1.045, 59793, 57218.184, 0
6000, 2.039, 59793, 29324.668, 0
6000, 1.698, 59793, 35213.781, 0
6000, 2.319, 59793, 25783.959, 0
6000, 2.353, 59793, 25411.391, 0
6000, 2.499, 59793, 23926.770, 0
6000, 1.354, 59793, 44160.266, 0
6000, 2.619, 59793, 22830.471, 0
6000, 2.539, 59793, 23549.822, 0
6000, 1.362, 59793, 43900.883, 0
6000, 2.223, 59793, 26897.436, 0
6000, 1.063, 59793, 56249.297, 0
6000, 1.104, 59793, 54160.328, 0
6000, 2.529, 59793, 23642.941, 0
6000, 2.368, 59793, 25250.422, 0
7000, 0.861, 59793, 69445.992, 0
7000, 2.131, 59793, 28058.658, 0
7000, 2.253, 59793, 26539.281, 0
7000, 1.738, 59793, 34403.336, 0
7000, 2.059, 59793, 29039.824, 0
7000, 2.496, 59793, 23955.529, 0
7000, 1.982, 59793, 30168.012, 0
7000, 2.298, 59793, 26019.582, 0
7000, 1.913, 59793, 31256.143, 0
7000, 1.223, 59793, 48890.430, 0
7000, 2.347, 59793, 25476.354, 0
7000, 0.953, 59793, 62741.867, 0
7000, 2.343, 59793, 25519.848, 0
7000, 2.132, 59793, 28045.498, 0
7000, 1.093, 59793, 54705.395, 0
7000, 2.317, 59793, 25806.217, 0
7000, 1.079, 59793, 55415.199, 0
7000, 1.722, 59793, 34722.996, 0
7000, 1.712, 59793, 34925.816, 0
7000, 2.067, 59793, 28927.432, 0
8000, 0.955, 59793, 62610.473, 0
8000, 0.920, 59793, 64992.391, 0
8000, 1.012, 59793, 59083.996, 0
8000, 2.330, 59793, 25662.232, 0
8000, 2.012, 59793, 29718.189, 0
8000, 0.423, 59793, 141354.609, 0
8000, 2.408, 59793, 24830.980, 0
8000, 2.155, 59793, 27746.172, 0
8000, 1.841, 59793, 32478.545, 0
8000, 2.138, 59793, 27966.791, 0
8000, 2.369, 59793, 25239.764, 0
8000, 0.954, 59793, 62676.102, 0
8000, 1.823, 59793, 32799.234, 0
8000, 1.592, 59793, 37558.418, 0
8000, 2.331, 59793, 25651.221, 0
8000, 2.183, 59793, 27390.287, 0
8000, 0.656, 59793, 91147.867, 0
8000, 2.329, 59793, 25673.250, 0
8000, 2.315, 59793, 25828.510, 0
8000, 2.407, 59793, 24841.295, 0
9000, 2.047, 59793, 29210.064, 0
9000, 0.942, 59793, 63474.523, 0
9000, 0.883, 59793, 67715.742, 0
9000, 2.074, 59793, 28829.799, 0
9000, 1.390, 59793, 43016.547, 0
9000, 1.233, 59793, 48493.914, 0
9000, 1.864, 59793, 32077.791, 0
9000, 2.658, 59793, 22495.486, 0
9000, 0.960, 59793, 62284.375, 0
9000, 1.959, 59793, 30522.205, 0
9000, 1.975, 59793, 30274.936, 0
9000, 0.871, 59793, 68648.680, 0
9000, 1.947, 59793, 30710.322, 0
9000, 1.989, 59793, 30061.840, 0
9000, 2.124, 59793, 28151.129, 0
9000, 1.748, 59793, 34206.520, 0
9000, 1.976, 59793, 30259.615, 0
9000, 2.043, 59793, 29267.254, 0
9000, 1.845, 59793, 32408.129, 0
9000, 1.907, 59793, 31354.484, 0
10000, 0.908, 59793, 65851.320, 0
10000, 1.707, 59793, 35028.121, 0
10000, 0.957, 59793, 62479.621, 0
10000, 1.738, 59793, 34403.336, 0
10000, 0.930, 59793, 64293.547, 0
10000, 1.731, 59793, 34542.461, 0
10000, 1.717, 59793, 34824.113, 0
10000, 1.708, 59793, 35007.613, 0
10000, 1.686, 59793, 35464.414, 0
10000, 1.731, 59793, 34542.461, 0
10000, 0.882, 59793, 67792.516, 0
10000, 1.282, 59793, 46640.406, 0
10000, 1.502, 59793, 39808.922, 0
10000, 1.743, 59793, 34304.648, 0
10000, 1.765, 59793, 33877.055, 0
10000, 1.634, 59793, 36593.023, 0
10000, 1.400, 59793, 42709.285, 0
10000, 1.647, 59793, 36304.191, 0
10000, 0.811, 59793, 73727.500, 0
10000, 1.444, 59793, 41407.895, 0
11000, 0.414, 59793, 144427.531, 0
11000, 1.097, 59793, 54505.926, 0
11000, 1.785, 59793, 33497.480, 0
11000, 1.746, 59793, 34245.703, 0
11000, 1.670, 59793, 35804.191, 0
11000, 1.730, 59793, 34562.426, 0
11000, 1.499, 59793, 39888.594, 0
11000, 0.365, 59793, 163816.438, 0
11000, 1.700, 59793, 35172.352, 0
11000, 1.768, 59793, 33819.570, 0
11000, 1.683, 59793, 35527.629, 0
11000, 0.966, 59793, 61897.516, 0
11000, 0.901, 59793, 66362.930, 0
11000, 1.649, 59793, 36260.156, 0
11000, 0.803, 59793, 74462.023, 0
11000, 1.648, 59793, 36282.160, 0
11000, 1.583, 59793, 37771.953, 0
11000, 0.896, 59793, 66733.258, 0
11000, 0.900, 59793, 66436.672, 0
11000, 1.755, 59793, 34070.086, 0
12000, 1.485, 59793, 40264.645, 0
12000, 0.927, 59793, 64501.617, 0
12000, 1.194, 59793, 50077.891, 0
12000, 1.713, 59793, 34905.430, 0
12000, 1.666, 59793, 35890.156, 0
12000, 1.660, 59793, 36019.879, 0
12000, 1.457, 59793, 41038.434, 0
12000, 1.666, 59793, 35890.156, 0
12000, 1.684, 59793, 35506.531, 0
12000, 1.819, 59793, 32871.359, 0
12000, 1.746, 59793, 34245.703, 0
12000, 1.554, 59793, 38476.832, 0
12000, 0.944, 59793, 63340.043, 0
12000, 1.063, 59793, 56249.297, 0
12000, 1.521, 59793, 39311.637, 0
12000, 1.618, 59793, 36954.883, 0
12000, 1.633, 59793, 36615.430, 0
12000, 1.652, 59793, 36194.312, 0
12000, 1.695, 59793, 35276.105, 0
12000, 0.891, 59793, 67107.750, 0
13000, 1.593, 59793, 37534.840, 0
13000, 1.783, 59793, 33535.055, 0
13000, 1.657, 59793, 36085.094, 0
13000, 1.748, 59793, 34206.520, 0
13000, 1.395, 59793, 42862.367, 0
13000, 1.777, 59793, 33648.285, 0
13000, 1.685, 59793, 35485.461, 0
13000, 1.744, 59793, 34284.977, 0
13000, 1.694, 59793, 35296.930, 0
13000, 1.619, 59793, 36932.059, 0
13000, 1.591, 59793, 37582.023, 0
13000, 1.779, 59793, 33610.453, 0
13000, 1.776, 59793, 33667.230, 0
13000, 1.694, 59793, 35296.930, 0
13000, 1.744, 59793, 34284.977, 0
13000, 1.294, 59793, 46207.883, 0
13000, 1.477, 59793, 40482.734, 0
13000, 1.695, 59793, 35276.105, 0
13000, 1.723, 59793, 34702.844, 0
13000, 1.747, 59793, 34226.102, 0
14000, 0.878, 59793, 68101.367, 0
14000, 1.675, 59793, 35697.312, 0
